GeneID	adipose.tissue	adrenal.gland	appendix	urinary.bladder	bone.marrow	colon	duodenum	endometrium	esophagus	fallopian.tube	gall.bladder	heart	kidney	liver	lung	lymph.node	ovary	pancreas	placenta	prostate	rectum	salivary.gland	small.intestine	smooth.muscle	spleen	stomach	testis	thyroid	tonsil
ENSG00000123130	9	8	12	9	5	6	7	12	5	8	8	13	5	3	11	7	7	1	7	9	8	3	6	15	10	6	4	8	6
ENSG00000123131	21	24	25	30	8	25	25	20	17	31	24	16	13	50	13	15	30	147	43	30	27	25	20	25	14	33	46	16	26
ENSG00000123136	9	6	26	11	75	10	13	8	9	6	9	4	5	3	9	40	5	2	11	7	9	5	12	6	25	11	55	6	30
ENSG00000123143	21	18	25	17	27	7	7	21	9	22	12	19	13	4	29	27	13	8	22	17	6	14	9	18	47	22	31	19	18
ENSG00000123144	42	29	41	21	63	43	32	35	19	36	18	17	34	27	41	37	37	9	36	39	35	26	35	33	53	36	28	19	59
ENSG00000123146	8	7	37	15	59	14	16	28	5	17	12	6	4	3	37	20	4	3	12	5	12	7	16	32	53	10	2	7	10
ENSG00000123154	1	1	2	1	2	1	1	1	0.7	2	1	0.7	2	0.5	1	2	1	0.5	1	2	0.9	1	1	1	2	1	3	1	1
ENSG00000123159	8	8	7	9	0.7	28	7	7	19	9	7	5	10	2	12	3	5	2	13	11	11	6	7	5	7	15	5	5	5
ENSG00000123165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000123178	4	8	3	4	2	7	5	4	6	6	3	6	7	4	12	3	5	1	5	6	6	2	6	5	4	5	10	6	3
ENSG00000123191	1	0	0.6	0.8	2	2	8	2	0.5	2	7	0.9	2	3	1	0	2	0.5	6	2	2	2	4	1	0.5	3	10	0.9	0
ENSG00000123200	10	8	12	10	5	9	7	16	9	13	10	5	10	7	10	13	14	2	11	12	10	6	7	11	13	9	11	14	10
ENSG00000123213	2	0.9	3	3	0.8	3	0.8	2	2	2	1	1	3	5	1	2	2	0.6	2	2	3	0.7	2	3	1	3	1	3	2
ENSG00000123219	0	0	5	1	5	3	3	0.5	1	0.7	0.7	0	0	0	0.6	5	0	0	2	0.5	4	0	3	1	1	2	5	0	5
ENSG00000123240	42	54	19	27	14	27	28	25	30	18	24	38	37	25	25	24	52	6	28	17	27	17	32	22	31	31	49	12	18
ENSG00000123243	34	1	6	14	0	6	4	7	7	3	8	3	6	0	7	5	6	1	30	8	6	2	5	10	1	2	3	8	4
ENSG00000123268	9	18	14	15	7	15	12	17	11	16	12	7	9	7	13	17	18	2	13	11	13	7	11	11	14	10	6	19	16
ENSG00000123297	4	11	6	5	4	7	5	4	3	6	4	6	9	5	4	5	3	1	4	5	7	3	4	5	3	4	6	5	6
ENSG00000123329	0.9	1	24	6	32	2	4	1	1	1	5	0.5	0.5	0.9	5	30	0.5	0	3	1	3	2	7	1	31	5	6	0.6	24
ENSG00000123338	2	4	29	12	22	6	4	2	6	2	7	0.8	0.9	2	10	34	1	0	6	2	8	2	5	3	30	3	1	1	34
ENSG00000123342	10	3	38	7	0.6	5	2	7	4	3	22	0.8	1	5	7	3	3	5	14	2	6	0	5	17	18	5	0	1	8
ENSG00000123349	40	59	56	41	81	44	30	55	26	63	38	31	46	29	44	70	93	18	46	48	40	44	36	36	75	38	37	62	57
ENSG00000123352	2	4	6	7	2	4	5	6	3	4	6	1	3	1	3	8	3	2	3	4	5	5	4	5	3	5	14	6	9
ENSG00000123353	3	4	5	5	3	8	5	4	8	6	4	2	4	2	5	4	2	1	4	5	9	4	4	6	4	6	6	4	8
ENSG00000123358	51	153	27	66	6	7	9	27	15	39	122	8	16	6	26	5	251	7	11	87	18	28	15	37	8	6	5	40	0.9
